Entity_Name,Borough,borough_geom,borough_code,State,Latitude,Longitude,AED_NumAeds,Location Type,is_mislabeled
Marymount School,Manhattan,MANHATTAN,1.0,New York,40.78000933,-73.96150877,1.0,School,False
Marymount School,Manhattan,MANHATTAN,1.0,New York,40.78686455,-73.95120209,1.0,School,False
Orchard Collegiate Academy,Manhattan,MANHATTAN,1.0,New York,40.71367683,-73.98633592,1.0,School,False
P.S. 360 Bronx,Bronx,BRONX,2.0,New York,40.87440453,-73.90257169,1.0,Public Schools,False
P.S. 008 Robert Fulton,Brooklyn,BROOKLYN,3.0,New York,40.70070292,-73.99324142,1.0,Public Schools,False
Poly Prep,Brooklyn,BROOKLYN,3.0,New York,40.66922835,-73.97299292,1.0,School,False
P.S. 004 Duke Ellington,Manhattan,MANHATTAN,1.0,New York,40.83489285,-73.94108423,1.0,Public Schools,False
Boston Properties,Manhattan,MANHATTAN,1.0,New York,40.76107398,-73.97379662,2.0,Businesses & Commercial Spaces,False
Senior Citizens League of Flatbush,Brooklyn,BROOKLYN,3.0,New York,40.634913,-73.97251687,1.0,Senior Centers,False
M.S. 302 Luisa Dessus Cruz,Bronx,BRONX,2.0,New York,40.81542252,-73.90213814,1.0,Public Schools,False
P.S. 255 Barbara Reing School,Brooklyn,BROOKLYN,3.0,New York,40.60434174,-73.95552789,1.0,Public Schools,False
"New Explorations into Science, Technology and Math High School",Manhattan,MANHATTAN,1.0,New York,40.7188881,-73.97930747,1.0,School,False
Jacqueline Kennedy Onassis High School,Manhattan,MANHATTAN,1.0,New York,40.75772163,-73.98307821,1.0,School,False
Morgan Stanley - 1 NY Plaza,Manhattan,MANHATTAN,1.0,New York,40.70253319,-74.01256178,1.0,Businesses & Commercial Spaces,False
Passages Academy - Belmont,Brooklyn,BROOKLYN,3.0,New York,40.67194769,-73.88663554,1.0,School,False
P.S. 398 Walter Weaver,Brooklyn,BROOKLYN,3.0,New York,40.66355127,-73.92695879,1.0,Public Schools,False
Zeta Charter School - Tremont Park,Bronx,BRONX,2.0,New York,40.84538467,-73.89349891,1.0,School,False
Bronx Green Middle School,Bronx,BRONX,2.0,New York,40.8621026,-73.86457504,1.0,School,False
Morgan Stanley - E52,Manhattan,MANHATTAN,1.0,New York,40.75882057,-73.97397799,1.0,Businesses & Commercial Spaces,False
136 East 79th Street Corp.,Manhattan,MANHATTAN,1.0,New York,40.77512292,-73.95932001,1.0,Businesses & Commercial Spaces,False
The Equity Project Charter School - Middle,Manhattan,MANHATTAN,1.0,New York,40.86463788,-73.92309274,1.0,School,False
P.S. 069 Journey Prep School,Bronx,BRONX,2.0,New York,40.81668649,-73.86090327,1.0,Public Schools,False
University Prep Charter High School,Bronx,BRONX,2.0,New York,40.81551851,-73.91222478,1.0,School,False
Department of Citywide Administrative Services,Manhattan,MANHATTAN,1.0,New York,40.71542054,-74.00267301,1.0,Government Buildings & Services,False
District 2 Pre-K Center at 2-26 Washington St (M391),Manhattan,MANHATTAN,1.0,New York,40.70511839,-74.01559192,1.0,Public Schools,False
JFK INTERNATIONAL AIRPORT,Queens,QUEENS,4.0,New York,40.64831283,-73.7882815,28.0,Ferries & Other Transportation,False
New Amsterdam Theater,Manhattan,MANHATTAN,1.0,New York,40.7563169,-73.98765183,1.0,Performance Venues,False
P.S. 144 Col Jeromus Remsen,Queens,QUEENS,4.0,New York,40.71527346,-73.85241132,1.0,Public Schools,False
Bayside High School,Queens,QUEENS,4.0,New York,40.77174691,-73.78029496,1.0,School,False
"Soulcycle, Inc",Manhattan,MANHATTAN,1.0,New York,40.78165256,-73.9794251,1.0,Health Clubs & Gyms,False
69th Tenants Corp,Manhattan,MANHATTAN,1.0,New York,40.76821287,-73.96300662,5.0,Businesses & Commercial Spaces,False
The Global Learning Collaborative,Manhattan,MANHATTAN,1.0,New York,40.78579617,-73.9746138,1.0,Public Schools,False
"The Empire State Building Company, LLC",Manhattan,MANHATTAN,1.0,New York,40.7482689007,-73.98469027358,1.0,Businesses & Commercial Spaces,False
P.S. 162 John Golden,Queens,QUEENS,4.0,New York,40.74902802,-73.77721218,1.0,Public Schools,False
Urban Scholars Community School,Bronx,BRONX,2.0,New York,40.82841218,-73.90072055,1.0,School,False
"Jack Resnick & Sons, Inc.",Manhattan,MANHATTAN,1.0,New York,40.77299021,-73.9521149,1.0,Businesses & Commercial Spaces,False
Brookfield Properties - New York - One Manhattan,Manhattan,MANHATTAN,1.0,New York,40.75227175,-73.99712339,8.0,Businesses & Commercial Spaces,False
"Mutual Redevelopment Houses, Inc",Manhattan,MANHATTAN,1.0,New York,40.7491235,-73.99701886,1.0,Businesses & Commercial Spaces,False
Philips Returns AED,Manhattan,QUEENS,4.0,New York,40.70847218,-73.80006469,1.0,Businesses & Commercial Spaces,True
Battery Park City School,Manhattan,MANHATTAN,1.0,New York,40.70643282,-74.01781763,1.0,School,False
Anchin Block & Anchin,Manhattan,MANHATTAN,1.0,New York,40.7523205,-73.98746128,1.0,Businesses & Commercial Spaces,False
Brownsville Recreation Center,Brooklyn,BROOKLYN,3.0,New York,40.65546372,-73.90285303,1.0,Parks & Recreation,False
Pelham Fitz Senior Centers,Manhattan,MANHATTAN,1.0,New York,40.80481537,-73.94545638,1.0,Senior Centers,False
P.S. 056 Harry Eichler,Queens,QUEENS,4.0,New York,40.69918224,-73.83529856,1.0,Public Schools,False
J.H.S. 104 Simon Baruch,Manhattan,MANHATTAN,1.0,New York,40.73608704,-73.98066248,1.0,Public Schools,False
"WIN - Women in Need, Inc. (Harriet Tubman)",Queens,QUEENS,4.0,New York,40.60172573,-73.74901529,1.0,Health & Social Services,False
Wave Preparatory Elementary School,Queens,QUEENS,4.0,New York,40.59929166,-73.75820706,1.0,School,False
Morgan Stanley - ISG - New York Metro - 750 7th Ave - Floor: 16,Manhattan,MANHATTAN,1.0,New York,40.76074642,-73.98352505,1.0,Businesses & Commercial Spaces,False
P.S. 330 - Queens,Queens,QUEENS,4.0,New York,40.75787255,-73.8592001,1.0,Public Schools,False
"WIN - Women in Need, Inc. (East River Family)",Manhattan,MANHATTAN,1.0,New York,40.78899052,-73.9426273,1.0,Health & Social Services,False
"Marsh & McLennan - Lippincott - New York, NY",Manhattan,MANHATTAN,1.0,New York,40.7628077,-73.96985756,2.0,Businesses & Commercial Spaces,False
Morgan Stanley - ISG - New York Metro - 750 7th Ave - Floor: 4,Manhattan,MANHATTAN,1.0,New York,40.76074642,-73.98352505,1.0,Businesses & Commercial Spaces,False
P469X @ X855 (X855),Bronx,BRONX,2.0,New York,40.8072682,-73.91644402,1.0,Public Schools,False
The Port Authority of New York & New Jersey - NYMT,Brooklyn,BROOKLYN,3.0,New York,40.68868924,-74.00094473,7.0,Ferries & Other Transportation,False
The Bay Terrace,Queens,QUEENS,4.0,New York,40.77827637,-73.77727282,1.0,Businesses & Commercial Spaces,False
Loeb & Loeb LLP,Manhattan,MANHATTAN,1.0,New York,40.75816441,-73.97324549,1.0,Businesses & Commercial Spaces,False
"Abramson Brothers, Inc. Realty Investments",Manhattan,MANHATTAN,1.0,New York,40.75754558,-73.98065983,1.0,Businesses & Commercial Spaces,False
"Walt Disney/ABC, Inc.",Manhattan,MANHATTAN,1.0,New York,40.77566742,-73.98750381,1.0,Businesses & Commercial Spaces,False
Rosalyn Yalow Charter School,Bronx,BRONX,2.0,New York,40.82085854,-73.92606286,1.0,School,False
P.S. 069 Daniel D. Tompkins,Staten Island,STATEN ISLAND,5.0,New York,40.59146064,-74.15670428,1.0,Public Schools,False
P.S. 092 Harry T. Stewart Sr.,Queens,QUEENS,4.0,New York,40.75541114,-73.86901587,1.0,Public Schools,False
J.H.S. 123 James M. Kieran,Bronx,BRONX,2.0,New York,40.82539659,-73.87366518,1.0,Public Schools,False
Hyatt Hotels & Resorts - Andaz-5th Ave,Manhattan,MANHATTAN,1.0,New York,40.75300584,-73.98121339,2.0,Businesses & Commercial Spaces,False
Brilla College Prep Middle School (Grades 5-8),Bronx,BRONX,2.0,New York,40.80951965,-73.92551558,1.0,School,False
14 East 75th Street Inc.,Manhattan,MANHATTAN,1.0,New York,40.77401033,-73.96470392,1.0,Businesses & Commercial Spaces,False
Fordham University Bronx Location,Bronx,BRONX,2.0,New York,40.86072673616,-73.88953366191,1.0,Colleges & Universities,False
HSBC,Manhattan,MANHATTAN,1.0,New York,40.75178192,-73.98275128,11.0,Businesses & Commercial Spaces,False
Bedford Stuyvesant New Beginnings Charter School,Brooklyn,BROOKLYN,3.0,New York,40.69467223,-73.93738968,1.0,School,False
P.S. 130 Abram Stevens Hewitt,Bronx,BRONX,2.0,New York,40.81771463,-73.90242017,1.0,Public Schools,False
"Jack Resnick & Sons, Inc.",Manhattan,MANHATTAN,1.0,New York,40.80445875,-73.9352596,1.0,Businesses & Commercial Spaces,False
P.S. 007 Samuel Stern,Manhattan,MANHATTAN,1.0,New York,40.80099986,-73.9393481,1.0,Public Schools,False
P.S. 096 Queens,Queens,QUEENS,4.0,New York,40.67498358,-73.8083707,1.0,Public Schools,False
Jack and Pearl Resnick Campus,Bronx,BRONX,2.0,New York,40.85117554,-73.84482139,1.0,School,False
Gumley Haft,Manhattan,MANHATTAN,1.0,New York,40.76946947,-73.98512222,1.0,Businesses & Commercial Spaces,False
Department of Citywide Administrative Services,Manhattan,MANHATTAN,1.0,New York,40.71371602,-74.00358556,1.0,Government Buildings & Services,False
Maria Gallagher,Queens,QUEENS,4.0,New York,40.71108883,-73.82050168,10.0,School,False
P.S. 019 Marino Jeantet,Queens,QUEENS,4.0,New York,40.74910061,-73.86636118,1.0,Public Schools,False
Crotona International High School,Bronx,BRONX,2.0,New York,40.85569163,-73.88271344,1.0,School,False
Loeb & Loeb LLP,Manhattan,MANHATTAN,1.0,New York,40.75816441,-73.97324549,1.0,Businesses & Commercial Spaces,False
Verizon Wireless,Brooklyn,BROOKLYN,3.0,New York,40.68969781,-73.98134308,1.0,Businesses & Commercial Spaces,False
Bridge Street Senior Centers,Brooklyn,BROOKLYN,3.0,New York,40.68505449,-73.93246621,1.0,Senior Centers,False
EBC High School for Public Service - Bushwick,Brooklyn,BROOKLYN,3.0,New York,40.69449997,-73.92910649,1.0,School,False
Brookfield Properties - New York - 333W 34th Street,Manhattan,MANHATTAN,1.0,New York,40.75264494,-73.99453549,4.0,Businesses & Commercial Spaces,False
Fisher Brothers,Manhattan,MANHATTAN,1.0,New York,40.74990309,-73.97506063,1.0,Businesses & Commercial Spaces,False
Morgan Stanley - CMP072 - 399 Park - New York NY 399 - Floor: 23,Manhattan,MANHATTAN,1.0,New York,40.75953381,-73.97224506,1.0,Businesses & Commercial Spaces,False
DREAM Charter High School,Bronx,BRONX,2.0,New York,40.80735885,-73.92876185,1.0,School,False
Vornado Office Management LLC,Manhattan,MANHATTAN,1.0,New York,40.74606173,-73.98207068,1.0,Businesses & Commercial Spaces,False
10 & 20 Bay Street Co-Op Board,Staten Island,STATEN ISLAND,5.0,New York,40.63792795,-74.07427413,2.0,Businesses & Commercial Spaces,False
J.H.S. 014 Shell Bank,Brooklyn,BROOKLYN,3.0,New York,40.59351346,-73.93767213,1.0,Public Schools,False
I.S. 528 Bea Fuller Rodgers School,Manhattan,MANHATTAN,1.0,New York,40.85050408,-73.93448445,1.0,School,False
Fordham University Bronx Location,Bronx,BRONX,2.0,New York,40.86072674,-73.88953366,1.0,Colleges & Universities,False
Francis Lewis High School - Annex,Queens,QUEENS,4.0,New York,40.74071593,-73.79282959,1.0,School,False
J.H.S. 050 John D. Wells,Brooklyn,BROOKLYN,3.0,New York,40.71169728,-73.96027507,1.0,Public Schools,False
Queens Preparatory Academy,Queens,QUEENS,4.0,New York,40.66822698,-73.75683872,1.0,School,False
Equinox,Manhattan,MANHATTAN,1.0,New York,40.75919751,-73.97833472,3.0,Health Clubs & Gyms,False
Three World Trade Center,Manhattan,MANHATTAN,1.0,New York,40.71096789,-74.01235777,1.0,Businesses & Commercial Spaces,False
A-Tech High School,Brooklyn,BROOKLYN,3.0,New York,40.7219738,-73.9532809,1.0,School,False
"Sunbelt Rentals, Inc - 1397",Bronx,BRONX,2.0,New York,40.82289272,-73.83813462,1.0,Businesses & Commercial Spaces,False
"Estee Lauder Companies, Inc.",Manhattan,MANHATTAN,1.0,New York,40.72619643,-73.99517265,1.0,Businesses & Commercial Spaces,False
Young Women's Leadership School - Jamaica,Queens,QUEENS,4.0,New York,40.70751966,-73.80641206,1.0,School,False
P.S. 105 Sen Abraham Bernstein,Bronx,BRONX,2.0,New York,40.85239137,-73.86661554,1.0,Public Schools,False
P.S./I.S. 295 Queens,Queens,QUEENS,4.0,New York,40.72061071,-73.73199617,1.0,Public Schools,False
Brooklyn South Field Support Center (Ocean Avenue),Brooklyn,BROOKLYN,3.0,New York,40.61890816,-73.95511472,1.0,Public Schools,False
J.H.S. 143 Eleanor Roosevelt,Manhattan,MANHATTAN,1.0,New York,40.84890183,-73.93094738,1.0,Public Schools,False
Renaissance Charter School,Queens,QUEENS,4.0,New York,40.75130343,-73.88553269,1.0,School,False
Creo College Preparatory Charter School,Bronx,BRONX,2.0,New York,40.81604003,-73.91976395,1.0,School,False
Toyota North America,Manhattan,MANHATTAN,1.0,New York,40.76324802,-73.97463325,1.0,Businesses & Commercial Spaces,False
Barnard College,Manhattan,MANHATTAN,1.0,New York,40.80907951,-73.96312109,1.0,Colleges & Universities,False
Equinox,Manhattan,MANHATTAN,1.0,New York,40.78146869,-73.97955515,1.0,Health Clubs & Gyms,False
Morgan Stanley - 1585 Broadway,Manhattan,MANHATTAN,1.0,New York,40.76020869,-73.98533366,1.0,Businesses & Commercial Spaces,False
Staten Island School of Civic Leadership,Staten Island,STATEN ISLAND,5.0,New York,40.62066832,-74.16427642,1.0,School,False
Boys And Girls High School,Brooklyn,BROOKLYN,3.0,New York,40.67943315,-73.93240703,1.0,School,False
M. McLeod Bethune Senior Centers,Manhattan,MANHATTAN,1.0,New York,40.83327379,-73.94173975,1.0,Senior Centers,False
P.S. 127 McKinley Park,Brooklyn,BROOKLYN,3.0,New York,40.6242156,-74.0187178,1.0,Public Schools,False
Rose Building,Manhattan,MANHATTAN,1.0,New York,40.76948571,-73.98345068,1.0,Businesses & Commercial Spaces,False
P.S./I.S. 187 Hudson Cliffs,Manhattan,MANHATTAN,1.0,New York,40.85673332,-73.93705578,1.0,Public Schools,False
P.S. 108 Captain Vincent G. Fowler,Queens,QUEENS,4.0,New York,40.67957633,-73.83154712,1.0,Public Schools,False
Hugh Gilroy Senior Centers,Brooklyn,BROOKLYN,3.0,New York,40.67523448,-73.92493069,1.0,Senior Centers,False
Manhattan International High School,Manhattan,MANHATTAN,1.0,New York,40.76535184,-73.96005883,1.0,School,False
Lyceum Theater,Manhattan,MANHATTAN,1.0,New York,40.75736221,-73.9840962,1.0,Performance Venues,False
Worldwide Plaza,Manhattan,MANHATTAN,1.0,New York,40.76206701,-73.98627542,1.0,Businesses & Commercial Spaces,False
"Time, Inc.",Manhattan,MANHATTAN,1.0,New York,40.76028202,-73.98015728,1.0,Businesses & Commercial Spaces,False
P.S. 073 Bronx,Bronx,BRONX,2.0,New York,40.83269985,-73.92683743,1.0,Public Schools,False
The Churchill School,Manhattan,MANHATTAN,1.0,New York,40.74157883,-73.97801208,5.0,School,False
Bronx Charter School for Children - Middle School,Bronx,BRONX,2.0,New York,40.80869382,-73.92190052,1.0,School,False
Office of Safety and Youth Development [335 Adams],Brooklyn,BROOKLYN,3.0,New York,40.69355794,-73.98890761,1.0,Government Buildings & Services,False
Howard Beach Senior Centers,Queens,QUEENS,4.0,New York,40.66186417,-73.84922472,1.0,Senior Centers,False
Jacob K. Javits Convention Center,Manhattan,MANHATTAN,1.0,New York,40.75655629,-74.00380806,1.0,Performance Venues,False
Practicing Law Institute,Manhattan,MANHATTAN,1.0,New York,40.76263186,-73.98214562,4.0,Businesses & Commercial Spaces,False
Midwood High School,Brooklyn,BROOKLYN,3.0,New York,40.63322956,-73.95292894,1.0,School,False
Department of Citywide Administrative Services,Manhattan,MANHATTAN,1.0,New York,40.71325748,-74.00706286,1.0,Government Buildings & Services,False
Thurgood Marshall Academy for Learning and Social Change,Manhattan,MANHATTAN,1.0,New York,40.81544236,-73.94406035,1.0,School,False
P.S. K315,Brooklyn,BROOKLYN,3.0,New York,40.63322477,-73.9546547,1.0,Public Schools,False
Zeta Charter School - Mount Eden Early Childhood (Pre-K - Kindergarten),Bronx,BRONX,2.0,New York,40.83870817,-73.91879324,1.0,Public Schools,False
Saint David's School,Manhattan,MANHATTAN,1.0,New York,40.78318667,-73.95839426,1.0,School,False
Morgan Stanley - ISG - New York Metro - 522 5th Avenue - Floor: 7,Manhattan,MANHATTAN,1.0,New York,40.75450705,-73.98014457,1.0,Businesses & Commercial Spaces,False
Canarsie Ascend Charter Middle School,Brooklyn,BROOKLYN,3.0,New York,40.63946662,-73.90891893,1.0,School,False
Hansborough Recreation Center,Manhattan,MANHATTAN,1.0,New York,40.81264315,-73.93948917,1.0,Parks & Recreation,False
Broome Street Academy Charter High School,Manhattan,MANHATTAN,1.0,New York,40.72389632,-74.00469008,1.0,School,False
CAB East Concourse Senior Centers,Bronx,BRONX,2.0,New York,40.84892961,-73.90456101,1.0,Senior Centers,False
Selfhelp Prince Street Senior Centers,Queens,QUEENS,4.0,New York,40.76196015,-73.83307067,1.0,Senior Centers,False
International Leadership Charter School,Bronx,BRONX,2.0,New York,40.88084694,-73.90995395,1.0,School,False
District 27 Pre-K Center at Q474 (Q474),Queens,QUEENS,4.0,New York,40.68565949,-73.83776232,1.0,Public Schools,False
P.S. 330 - Queens,Queens,QUEENS,4.0,New York,40.75787255,-73.8592001,1.0,Public Schools,False
East Side Middle School,Manhattan,MANHATTAN,1.0,New York,40.78069868,-73.94855265,1.0,School,False
"Walt Disney/ABC, Inc.",Manhattan,MANHATTAN,1.0,New York,40.77566742,-73.98750381,1.0,Businesses & Commercial Spaces,False
The Anderson School,Manhattan,MANHATTAN,1.0,New York,40.78081492,-73.97685443,1.0,Public Schools,False
Bronxwood Preparatory Academy,Bronx,BRONX,2.0,New York,40.8878253,-73.85269224,2.0,Public Schools,False
Macy's Inc. - #006: Kings Plaza,Brooklyn,BROOKLYN,3.0,New York,40.6110969,-73.92047943,1.0,Businesses & Commercial Spaces,False
Artisan Partners - New York - 745 5th Avenue,Manhattan,MANHATTAN,1.0,New York,40.76331917,-73.97369465,1.0,Businesses & Commercial Spaces,False
Brooklyn Collegiate: A College Board School,Brooklyn,BROOKLYN,3.0,New York,40.6740954,-73.91327323,1.0,School,False
Manhattan Center for Science and Mathematics,Manhattan,MANHATTAN,1.0,New York,40.79446964,-73.93356468,1.0,Public Schools,False
Morgan Stanley - 1633 Broadway,Manhattan,MANHATTAN,1.0,New York,40.76156716,-73.98396163,1.0,Businesses & Commercial Spaces,False
Jacqueline Kennedy Onassis High School,Manhattan,MANHATTAN,1.0,New York,40.75772163,-73.98307821,1.0,School,False
High School for Medical Professions,Brooklyn,BROOKLYN,3.0,New York,40.64146682,-73.89825407,1.0,School,False
Con Edison - 30 Flatbush Avenue,Brooklyn,BROOKLYN,3.0,New York,40.68811941,-73.98041682,2.0,Businesses & Commercial Spaces,False
East Flatbush Ascend Charter School (EFACS),Brooklyn,BROOKLYN,3.0,New York,40.65251617,-73.93919169,1.0,School,False
Fordham University Bronx Location,Bronx,BRONX,2.0,New York,40.86072673616,-73.88953366191,1.0,Colleges & Universities,False
J.H.S. 210 Elizabeth Blackwell,Queens,QUEENS,4.0,New York,40.68385028,-73.84746937,1.0,Public Schools,False
Our World Neighborhood Charter School II,Queens,QUEENS,4.0,New York,40.6720679,-73.85671788,1.0,School,False
Cooperative Technical HS (Coop Tech),Manhattan,MANHATTAN,1.0,New York,40.78363147,-73.94562546,1.0,School,False
High School for Climate Justice,Manhattan,MANHATTAN,1.0,New York,40.78361775,-73.94563631,1.0,School,False
Morgan Stanley - ISG - New York Metro - 750 7th Avenue - Floor: Building,Manhattan,MANHATTAN,1.0,New York,40.76074642,-73.98352505,1.0,Businesses & Commercial Spaces,False
Rosehill Academy - Annex,Bronx,BRONX,2.0,New York,40.85737143,-73.90338481,1.0,School,False
Lincoln Senior Centers,Manhattan,MANHATTAN,1.0,New York,40.81160314,-73.93493472,1.0,Senior Centers,False
P.S. 064 Robert Simon,Manhattan,MANHATTAN,1.0,New York,40.72442741,-73.98152092,1.0,Public Schools,False
Information Technology High School,Queens,QUEENS,4.0,New York,40.74869381,-73.94637952,1.0,School,False
New York City Charter School of the Arts,Manhattan,MANHATTAN,1.0,New York,40.70536032,-74.01246493,1.0,School,False
1095 Park Avenue Corp,Manhattan,MANHATTAN,1.0,New York,40.78191767,-73.95591436,1.0,Businesses & Commercial Spaces,False
New Utrecht High School,Brooklyn,BROOKLYN,3.0,New York,40.61325441,-74.00340366,1.0,School,False
P.S. 159 Queens,Queens,QUEENS,4.0,New York,40.76935217,-73.78394201,1.0,Public Schools,False
"Walt Disney/ABC, Inc.",Manhattan,MANHATTAN,1.0,New York,40.77324011,-73.98069136,1.0,Businesses & Commercial Spaces,False
Kingsborough Community College,Brooklyn,BROOKLYN,3.0,New York,40.57848969,-73.9348999,2.0,Colleges & Universities,False
P036K - Main Site (K857),Brooklyn,BROOKLYN,3.0,New York,40.66012631,-73.88702334,1.0,Public Schools,False
"Bailey House, Inc",Manhattan,MANHATTAN,1.0,New York,40.79507624,-73.97491001,1.0,Health & Social Services,False
P.S. 121 Queens,Queens,QUEENS,4.0,New York,40.68404262,-73.8158334,1.0,Public Schools,False
P.S. 176 Ovington,Brooklyn,BROOKLYN,3.0,New York,40.62456285,-74.00531349,1.0,Public Schools,False
Passages Academy - Crossroads - Secure Juvenile Detention Center (APPOINTMENT NEEDED),Brooklyn,BROOKLYN,3.0,New York,40.67073828,-73.91293155,1.0,School,False
School in the Square Elementary School,Manhattan,MANHATTAN,1.0,New York,40.86881658,-73.92083895,1.0,School,False
P.S. 452 Manhattan,Manhattan,MANHATTAN,1.0,New York,40.77195924,-73.98742869,1.0,Public Schools,False
P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,Manhattan,MANHATTAN,1.0,New York,40.82980867,-73.94474924,1.0,Public Schools,False
MatlinPatterson,Manhattan,MANHATTAN,1.0,New York,40.76062078,-73.9724648,1.0,Businesses & Commercial Spaces,False
P.S. 150 Manhattan,Manhattan,MANHATTAN,1.0,New York,40.70697138,-74.01350761,1.0,Public Schools,False
McClancy High School,Queens,QUEENS,4.0,New York,40.75816165,-73.89608262,1.0,School,False
I.S. 145 Joseph Pulitzer,Queens,QUEENS,4.0,New York,40.7546536,-73.88711146,1.0,Public Schools,False
P.S. 032 Belmont,Bronx,BRONX,2.0,New York,40.8520855,-73.88588995,1.0,Public Schools,False
P.S. 191 Mayflower,Queens,QUEENS,4.0,New York,40.73430911,-73.70913615,1.0,Public Schools,False
High School of Economics and Finance,Manhattan,MANHATTAN,1.0,New York,40.70918932,-74.01202199,1.0,Public Schools,False
P.S. 185 - The Locke School of Arts and Engineering,Manhattan,MANHATTAN,1.0,New York,40.79851791,-73.94923952,1.0,Public Schools,False
Eisner Amper LLP,Manhattan,MANHATTAN,1.0,New York,40.75371493,-73.97230885,1.0,Businesses & Commercial Spaces,False
I.S. 093 Ridgewood,Queens,QUEENS,4.0,New York,40.70603325,-73.90258428,1.0,Public Schools,False
Brooklyn Secondary School for Collaborative Studies,Brooklyn,BROOKLYN,3.0,New York,40.68006241,-74.00137725,1.0,School,False
"Deloitte - New York, NY - 1221 Ave of the Americas",Manhattan,MANHATTAN,1.0,New York,40.75909387,-73.98213574,3.0,Businesses & Commercial Spaces,False
"Sidley Austin LLP - NY, NY",Manhattan,MANHATTAN,1.0,New York,40.76194849,-73.9826223,13.0,Businesses & Commercial Spaces,False
P.S. 230 Doris L. Cohen Upper School,Brooklyn,BROOKLYN,3.0,New York,40.64500999,-73.98076105,1.0,Public Schools,False
Rose Building,Manhattan,MANHATTAN,1.0,New York,40.76948571,-73.98345068,1.0,Businesses & Commercial Spaces,False
JLL - 866 UN Plaza,Manhattan,MANHATTAN,1.0,New York,40.7529175,-73.96683382,1.0,Businesses & Commercial Spaces,False
Amster Rothstein & Ebenstein,Manhattan,MANHATTAN,1.0,New York,40.75049672,-73.97886451,1.0,Businesses & Commercial Spaces,False
"Science, Technology and Research Early College High School at Erasmus",Brooklyn,BROOKLYN,3.0,New York,40.64978002,-73.95854985,1.0,Public Schools,False
Jack and Pearl Resnick Campus,Bronx,BRONX,2.0,New York,40.85117554,-73.84482139,1.0,School,False
"Cravath, Swaine & Moore, LLP",Manhattan,MANHATTAN,1.0,New York,40.76206701,-73.98627542,1.0,Businesses & Commercial Spaces,False
"Carter, Ledyard, & Milburn LLP",Manhattan,MANHATTAN,1.0,New York,40.70771816,-74.01163218,1.0,Businesses & Commercial Spaces,False
Girl Scouts of the USA,Manhattan,MANHATTAN,1.0,New York,40.75080205,-73.98284538,1.0,Businesses & Commercial Spaces,False
New York Aquarium,Brooklyn,BROOKLYN,3.0,New York,40.57517621,-73.97579926,1.0,Zoos & Aquariums,False
P.S. 075 Emily Dickinson,Manhattan,MANHATTAN,1.0,New York,40.79514998,-73.97329197,1.0,Public Schools,False
Emblaze Academy Charter School,Bronx,BRONX,2.0,New York,40.82036689,-73.88828217,1.0,School,False
UBS Financial Services Inc,Manhattan,MANHATTAN,1.0,New York,40.75644922,-73.97449508,1.0,Businesses & Commercial Spaces,False
Eleven Times Square,Manhattan,MANHATTAN,1.0,New York,40.75689078,-73.9900232,17.0,Businesses & Commercial Spaces,False
"Intouch Solutions - New York, NY",Manhattan,MANHATTAN,1.0,New York,40.75190354,-73.98994094,2.0,Businesses & Commercial Spaces,False
Elm Community Charter School,Queens,QUEENS,4.0,New York,40.73732599,-73.88444178,1.0,School,False
Bronx Charter School for Children - Middle School,Bronx,BRONX,2.0,New York,40.80869382,-73.92190052,1.0,School,False
Department of Citywide Administrative Services,Queens,QUEENS,4.0,New York,40.70360942,-73.80868483,1.0,Government Buildings & Services,False
Rudin Management aaf The State-Whitehall Co.,Manhattan,MANHATTAN,1.0,New York,40.70303785,-74.01566717,1.0,Businesses & Commercial Spaces,False
I.S. 419 Middle School,Queens,QUEENS,4.0,New York,40.75989271,-73.85921747,1.0,School,False
A. Philip Randolph Campus High School,Manhattan,MANHATTAN,1.0,New York,40.81818176,-73.9503553,1.0,Public Schools,False
Equinox,Manhattan,MANHATTAN,1.0,New York,40.77431886,-73.98105571,3.0,Health Clubs & Gyms,False
Equinox,Manhattan,MANHATTAN,1.0,New York,40.72729159,-73.9951834,2.0,Health Clubs & Gyms,False
New York Congregation Nursing Center,Brooklyn,BROOKLYN,3.0,New York,40.65242696,-73.95389199,2.0,Nursing Homes,False
P.S. 069 Jackson Heights,Queens,QUEENS,4.0,New York,40.74925906,-73.88881693,1.0,Public Schools,False
P.S. 21 Margaret Emery-Elm Park,Staten Island,STATEN ISLAND,5.0,New York,40.63151519,-74.14429716,1.0,Public Schools,False
It Takes a Village Academy,Brooklyn,BROOKLYN,3.0,New York,40.64864945,-73.92217147,1.0,School,False
P.S. 107 Thomas A Dooley,Queens,QUEENS,4.0,New York,40.75600552,-73.7997049,1.0,Public Schools,False
RAICES Times Plaza Senior Centers,Brooklyn,BROOKLYN,3.0,New York,40.68628909,-73.98322261,1.0,Senior Centers,False
Brooklyn School of Inquiry,Brooklyn,BROOKLYN,3.0,New York,40.60730298,-73.98659547,1.0,School,False
Morgan Stanley - 750 7th Avenue - Floor: 31,Manhattan,MANHATTAN,1.0,New York,40.76074642,-73.98352505,1.0,Businesses & Commercial Spaces,False
Morgan Stanley - 1 NY Plaza,Manhattan,MANHATTAN,1.0,New York,40.70253319,-74.01256178,1.0,Businesses & Commercial Spaces,False
